Plot_ID,LDF_tC_m3
DTLLP001-A,0.8745194
DTLLP002-A,2.4063259
DTLLP003-A,1.7128946
DTLLP004-A,0.8999954
DTLLP005-A,1.3509405
DTLLP006-A,1.4981381
DTLLP007-A,1.5183028
DTLLP008-A,0.5058399
DTLLP009-A,1.2121737
DTLLP010-A,0.8037395
DTLLP011-A,0.5954349
DTLLP012-A,1.2855062
DTLLP013-A,1.4053733
DTLLP014-A,0.7843077
DTLLP015-A,0.7242282
DTLLP016-A,1.2738333
DTLLP017-A,0.9416588
DTLLP018-A,1.7328541
DTLLP019-A,1.8184282
DTLLP020-A,0.3505649
DTLLP021-A,0.5661762
DTLLP023-A,1.6561101
DTLLP022-A,1.4643855
DTLLP024-A,1.0732694
DTLLP025-A,0.8997003
DTLLP025-A,0.7549925
DTLLP001-B,0.7764423
DTLLP002-B,0.7739756
DTLLP003-B,0.5250678
DTLLP004-B,0.7677965
DTLLP005-B,0.9016075
DTLLP006-B,1.5832074
DTLLP007-B,0.6358295
DTLLP008-B,1.1199387
DTLLP009-B,1.1969762
DTLLP010-B,1.1527074
DTLLP011-B,3.0393341
DTLLP012-B,1.1339944
DTLLP013-B,0.9349754
DTLLP014-B,1.266659
DTLLP015-B,0.5808138
DTLLP016-B,1.7423324
DTLLP017-B,1.3494069
DTLLP018-B,1.7797712
DTLLP019-B,0.5594531
DTLLP020-B,0.1815133
DTLLP021-B,0.4768965
DTLLP001-C,2.1151767
DTLLP002-C,1.1744891
DTLLP003-C,1.2016565
DTLLP004-C,0.5731565
DTLLP005-C,1.1733289
DTLLP006-C,0.6381465
DTLLP007-C,1.1888646
DTLLP008-C,0.2261771
DTLLP009-C,0.5167641
DTLLP010-C,0.189487
DTLLP011-C,1.5027675
DTLLP012-C,0.5524543
DTLLP013-C,0.8099802
DTLLP014-C,0.3919141
DTLLP015-C,2.8304499
DTLLP016-C,1.4267755
DTLLP017-C,1.3862483
DTLLP018-C,3.2808813
DTLLP019-C,1.3012406
DTLLP020-C,1.3330122
DTLLP021-C,1.2624937
DTLLP022-C,0.5993632
DTLLP023-C,0.7214631
DTLLP024-C,1.0462443
VWLP001-H,0.5189496
VWLP002-H,0.4438609
VWLP003-H,0.9842817
VWLP004-H,0.6187548
VWLP005-H,0.5199507
VWLP006-H,0.3565215
VWLP007-H,0.7060371
VWLP008-H,1.799938
VWLP009-H,0.7703915
VWLP010-H,0.4339937
VWLP011-H,0.3131765
VWLP012-H,0.286793
VWLP013-H,0.4006928
VWLP014-H,0.6086793
VWLP015-H,0.6215843
VWLP002-E,0.6404319
VWLP001-E,1.1557762
VWLP003-E,0.7968781
VWLP004-E,1.1238633
VWLP005-E,0.2387979
VWLP006-E,0.5831993
VWLP007-E,1.2558373
VWLP008-E,0.5886392
VWLP009-E,0.5801528
VWLP010-E,0.6043261
VWLP011-E,1.5166688
VWLP012-E,0.2988868
VWLP013-E,0.4873725
VWLP014-E,0.6582854
VWLP001-C,1.6206808
VWLP002-C,1.5677827
VWLP003-C,0.7109845
VWLP004-C,1.1569731
VWLP005-C,1.0181561
VWLP006-C,0.3084205
,
VWLP008-C,0.8637732
VWLP010-C,1.1268204
VWLP011-C,0.6053982
VWLP012-C,2.8945581
VWLP013-C,1.3837095
VWLP014-C,0.6895045
VWLP015-C,0.3856252
VWLP016-C,0.6306831
VWLP017-C,1.1907023
VWLP018-C,0.8544887
VWLP019-C,0.4154119
VWLP020-C,0.7562528
VWLP021-C,0.441611
VWLP022-C,1.0326253
VWLP023-C,0.4126631
LPKUR01,1.5595293
LPKUR02,1.0863052
LPKUR03,0.2555735
LPKUR04,0.7108362
LPKUR05,3.1578665
LPKUR06,0.8556412
LPKUR07,0.455412
LPKUR08,0.6828134
LPKUR09,1.4712192
LPKUR10,1.0813195
LPKUR11,
LPKUR12,0.5328375
LPKUR13,2.0319061
LPKUR14,0.6746896
LPKUR15,0.4966139
LPKUR16,0.3144786
LPKUR17,1.1845948
LPKUR18,0.5270367
LPKUR19,1.3164379
LPKUR20,1.3965856
LPKUR21,3.7988921
LPKUR22,0.75835
LPKUR23,0.7058695
LPKUR24,0.2853678
LPKUR25,0.5668114
LPKUR26,0.8743117
LPKUR27,0.4603472
LPKUR28,0.3182958
LPKUR29,1.0918488
LPKUR30,0.6534246
LPKUR31,0.7019286
LPKUR32,0.982715
LPVHL01,1.4402378
LPVHL02,1.0967284
LPVHL03,1.8596599
LPVHL04,1.6045517
LPVHL05,2.9133444
LPVHL06,1.1168012
LPVHL07,0.458469
LPVHL08,0.7822908
LPVHL09,2.5914013
LPVHL10,1.789504
LPVHL11,1.8363779
LPVHL12,2.0615488
LPVHL13,0.4501491
LPVHL14,1.5776066
LPVHL15,1.1840019
LPVHL16,0.8947761
LPVHL17,3.3361282
LPVHL18,1.211788
LPVHL19,0.4285704
LPVHL20,0.6920178
LPVHL21,0.3888359
LPVHL22,1.2758839
LPVHL23,3.0848878
LPVHL24,0.3104426
LPVHL25,1.891244
LPVHL26,0.4149153
LPVHL27,1.0660326
LPVHL28,1.4256275
LPVHL29,0.5341042
LPVHL30,0.3299611
,
,
,
,
,
,
,
,
,